기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,당월_매출_금액,당월_매출_건수,점포수,당월_매출금액/점포수,당월_매출건수/점포수,총_유동인구_수,총_직장_인구_수,총 상주인구 수,아파트_단지_수,아파트_평균_면적,아파트_평균_시가,시군구_코드
2020,2,A,골목상권,1000509,곰달래로2길,HL,상권축소,120,48,2405607719.0,104204,52,46261686.90384615,2003.923076923077,659062,610,3585,72,49,109397533,11470
2020,2,A,골목상권,1000508,곰달래로10길,LL,다이나믹,109,47,4117862752.0,306747,100,41178627.52,3067.47,707303,543,3275,76,48,106484472,11470
2020,2,A,골목상권,1000507,가로공원로58길,HL,상권축소,135,53,505656562.0,45896,24,21069023.416666668,1912.3333333333333,477752,91,2250,7,49,108533333,11470
2020,2,A,골목상권,1000506,효창원로93길,HH,정체,125,61,1026215469.0,83759,45,22804788.2,1861.3111111111111,1456563,243,2108,22,64,230078491,11440
2020,2,A,골목상권,1000505,토정로37길,LL,다이나믹,96,53,4811566505.0,221042,66,72902522.8030303,3349.121212121212,358676,431,3691,4,79,737526290,11440
2020,2,A,골목상권,1000504,월드컵로8길,LL,다이나믹,98,49,3299041793.0,150121,94,35096189.287234046,1597.031914893617,748583,939,1324,46,49,169430876,11440
2020,2,A,골목상권,1000503,월드컵로7길,LL,다이나믹,95,46,5175985975.0,158516,87,59494091.666666664,1822.0229885057472,427857,759,1465,61,46,191658809,11440
2020,2,A,골목상권,1000502,월드컵로36길,LH,상권확장,91,59,4719940525.0,343085,107,44111593.69158878,3206.4018691588785,919482,461,3080,74,48,128872858,11440
2020,2,A,골목상권,1000501,월드컵로25길,LL,다이나믹,96,49,5603803770.0,306768,133,42133862.932330824,2306.5263157894738,971522,309,2299,67,49,176826465,11440
2020,2,A,골목상권,1000500,월드컵로19길,LL,다이나믹,88,47,14108841910.0,713777,216,65318712.5462963,3304.5231481481483,942016,284,1180,39,42,151090463,11440
2020,2,A,골목상권,1000499,월드컵로16길,LL,다이나믹,94,48,7520599554.0,399545,139,54105032.76258993,2874.4244604316546,975273,1538,1839,78,52,179715200,11440
2020,2,A,골목상권,1000498,월드컵로11길,LL,다이나믹,93,50,9282429934.0,595114,122,76085491.26229508,4877.983606557377,680989,421,1726,63,43,181080719,11440
2020,2,A,골목상권,1000497,월드컵로10길,LL,다이나믹,77,43,5202637711.0,419900,90,57807085.677777775,4665.555555555556,803767,1102,1509,60,49,198159314,11440
2020,2,A,골목상권,1000496,와우산로3길,LL,다이나믹,76,50,4853910965.0,347151,55,88252926.63636364,6311.836363636364,334982,257,1330,63,44,207114804,11440
2020,2,A,골목상권,1000495,와우산로29길,LL,다이나믹,66,40,4794948611.0,382144,130,36884220.08461539,2939.5692307692307,478375,78,630,16,55,185394792,11440
2020,2,A,골목상권,1000494,와우산로29가길,LL,다이나믹,62,44,6791036578.0,291663,149,45577426.69798658,1957.4697986577182,275590,989,377,8,46,151030010,11440
2020,2,A,골목상권,1000493,양화진길,LL,다이나믹,86,43,6822117209.0,351253,87,78415140.33333333,4037.390804597701,402057,676,972,55,46,187544126,11440
2020,2,A,골목상권,1000492,양화로1길,LL,다이나믹,77,50,23763602439.0,482398,153,155317663.0,3152.9281045751636,763595,544,2026,69,55,218453378,11440
2020,2,A,골목상권,1000491,양화로11길,LL,다이나믹,88,52,7359063452.0,504017,108,68139476.4074074,4666.824074074074,488173,2761,596,26,56,204722275,11440
2020,2,A,골목상권,1000490,신촌로30길,HL,상권축소,154,53,1133373498.0,122135,33,34344651.45454545,3701.060606060606,499405,109,331,1,63,233000000,11440
2020,2,A,골목상권,1000489,신촌로28가길,HH,정체,128,100,262983214.0,27043,5,52596642.8,5408.6,478344,59,106,2,44,202928571,11440
